narrative,predicted_label,actual_label,dataset_type
"{'narrative': 'Criticism of climate movement', 'subnarrative': 'Ad hominem attacks on key activists'}",29,5,Training
"{'narrative': 'Questioning the measurements and science', 'subnarrative': 'Scientific community is unreliable'}",29,31,Training
"{'narrative': 'Criticism of climate movement', 'subnarrative': 'Other'}",29,8,Training
"{'narrative': 'Speculating war outcomes', 'subnarrative': 'Russian army is collapsing'}",29,-1,Training
"{'narrative': 'Praise of Russia', 'subnarrative': 'Russia has international support from a number of countries and people'}",0,-1,Training
"{'narrative': 'Criticism of climate movement', 'subnarrative': 'Ad hominem attacks on key activists'}",29,5,Training
"{'narrative': 'Amplifying war-related fears', 'subnarrative': 'Russia will also attack other countries'}",29,-1,Training
"{'narrative': 'Amplifying war-related fears', 'subnarrative': 'By continuing the war we risk WWIII'}",29,-1,Training
"{'narrative': 'Praise of Russia', 'subnarrative': 'Praise of Russian military might'}",0,-1,Training
"{'narrative': 'Speculating war outcomes', 'subnarrative': 'Other'}",29,-1,Training
"{'narrative': 'Discrediting the West, Diplomacy', 'subnarrative': 'Other'}",29,-1,Training
"{'narrative': 'Blaming the war on others rather than the invader', 'subnarrative': 'Ukraine is the aggressor'}",29,-1,Training
"{'narrative': 'Amplifying war-related fears', 'subnarrative': 'By continuing the war we risk WWIII'}",29,-1,Training
"{'narrative': 'Downplaying climate change', 'subnarrative': 'Weather suggests the trend is global cooling'}",29,24,Training
"{'narrative': 'Speculating war outcomes', 'subnarrative': 'Other'}",29,-1,Training
"{'narrative': 'Speculating war outcomes', 'subnarrative': 'Russian army is collapsing'}",29,-1,Training
"{'narrative': 'Discrediting the West, Diplomacy', 'subnarrative': 'Diplomacy does/will not work'}",29,-1,Training
"{'narrative': 'Criticism of institutions and authorities', 'subnarrative': 'Other'}",29,17,Training
"{'narrative': 'Discrediting the West, Diplomacy', 'subnarrative': 'The West is overreacting'}",29,-1,Training
"{'narrative': 'Negative Consequences for the West', 'subnarrative': 'Sanctions imposed by Western countries will backfire'}",29,-1,Training
"{'narrative': 'Criticism of institutions and authorities', 'subnarrative': 'Criticism of political organizations and figures'}",29,15,Training
"{'narrative': 'Negative Consequences for the West', 'subnarrative': 'Sanctions imposed by Western countries will backfire'}",29,-1,Training
"{'narrative': 'Hidden plots by secret schemes of powerful groups', 'subnarrative': 'Other'}",29,28,Training
"{'narrative': 'Blaming the war on others rather than the invader', 'subnarrative': 'Ukraine is the aggressor'}",29,-1,Training
"{'narrative': 'Hidden plots by secret schemes of powerful groups', 'subnarrative': 'Blaming global elites'}",29,26,Training
"{'narrative': 'Questioning the measurements and science', 'subnarrative': 'Scientific community is unreliable'}",29,31,Training
"{'narrative': 'Amplifying war-related fears', 'subnarrative': 'Other'}",29,-1,Training
"{'narrative': 'Discrediting Ukraine', 'subnarrative': 'Discrediting Ukrainian government and officials and policies'}",0,-1,Training
"{'narrative': 'Questioning the measurements and science', 'subnarrative': 'Scientific community is unreliable'}",29,31,Training
"{'narrative': 'Discrediting Ukraine', 'subnarrative': 'Ukraine is associated with nazism'}",29,-1,Training
"{'narrative': 'Blaming the war on others rather than the invader', 'subnarrative': 'Ukraine is the aggressor'}",29,-1,Training
"{'narrative': 'Criticism of climate policies', 'subnarrative': 'Climate policies are only for profit'}",29,10,Training
"{'narrative': 'Discrediting the West, Diplomacy', 'subnarrative': 'Other'}",29,-1,Training
"{'narrative': 'Blaming the war on others rather than the invader', 'subnarrative': 'The West are the aggressors'}",29,-1,Training
"{'narrative': 'Distrust towards Media', 'subnarrative': 'Western media is an instrument of propaganda'}",29,-1,Training
"{'narrative': 'Overpraising the West', 'subnarrative': 'The West belongs in the right side of history'}",29,-1,Training
"{'narrative': 'Hidden plots by secret schemes of powerful groups', 'subnarrative': 'Climate agenda has hidden motives'}",29,27,Training
"{'narrative': 'Discrediting Ukraine', 'subnarrative': 'Ukraine is a puppet of the West'}",0,-1,Training
